Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour
Monday,18-30,Male,Elementary school,Owner,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Moving Backward,Not a Pedestrian,No distancing,Slight Injury,15
Sunday,Over 51,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,Unknown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,9
Sunday,Over 51,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Governmental,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,9
Thursday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,17
Thursday,18-30,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,17
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,17
Sunday,18-30,Unknown,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,20
Sunday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,Unknown, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,20
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,21
Thursday,31-50,Male,Elementary school,Employee,5-10yr,Unknown,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Other,Slight Injury,21
Monday,18-30,Male,Unknown,Employee,Unknown,Long lorry,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,19
Monday,18-30,Male,Unknown,Employee,2-5yr,Public (12 seats),Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,19
Monday,18-30,Male,Elementary school,Employee,5-10yr,Public (12 seats),Owner,Unknown,Unknown,Unknown,Unknown,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Parked,Not a Pedestrian,No distancing,Slight Injury,16
Monday,Over 51,Male,Junior high school,Employee,5-10yr,Other,Governmental,2-5yrs,Unknown,Residential areas,Two-way (divided with broken lines road marking),Unknown,Crossing,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,16
Monday,31-50,Unknown,Junior high school,Employee,Above 10yr,Other,Owner,Below 1yr,Unknown, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Overturning,Slight Injury,15
Thursday,Under 18,Male,Junior high school,Employee,5-10yr,Other,Unknown,Unknown,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Driving at high speed,Serious Injury,23
Thursday,Under 18,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Unknown,Unknown,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No priority to vehicle,Serious Injury,23
Thursday,Under 18,Male,Elementary school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No priority to pedestrian,Serious Injury,23
Thursday,Under 18,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,Unknown,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No priority to vehicle,Serious Injury,23
Monday,Over 51,Male,Elementary school,Employee,1-2yr,Public (12 seats),Owner,Unknown,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,Turnover,Not a Pedestrian,Other,Slight Injury,20
Monday,31-50,Unknown,Elementary school,Employee,5-10yr,Other,Governmental,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Other,Slight Injury,20
Monday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (11?40Q),Owner,Unknown,No defect,Office areas,Unknown,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,20
Friday,18-30,Male,Elementary school,Employee,2-5yr,Other,Owner,2-5yrs,Unknown,Other,Unknown,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,Unknown,Not a Pedestrian,No distancing,Slight Injury,17
Friday,31-50,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,Unknown, Church areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Moving Backward,Not a Pedestrian,Moving Backward,Slight Injury,17
Monday,31-50,Unknown,Unknown,Unknown,5-10yr,Other,Owner,Above 10yr,Unknown, Industrial areas,Unknown,Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,18
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,Unknown,No defect,  Recreational areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Moving Backward,Not a Pedestrian,Driving carelessly,Slight Injury,17
Saturday,Unknown,Female,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,  Market areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,Turnover,Not a Pedestrian,No distancing,Slight Injury,1
Saturday,18-30,Unknown,Elementary school,Employee,Below 1yr,Other,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Other,Slight Injury,1
Saturday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,1
Saturday,18-30,Male,Elementary school,Owner,5-10yr,Public (13?45 seats),Owner,Unknown,No defect, Industrial areas,Two-way (divided with broken lines road marking),Unknown,Crossing,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Unknown,Not a Pedestrian,No distancing,Slight Injury,1
Wednesday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Governmental,2-5yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,18
Wednesday,18-30,Male,Elementary school,Employee,Above 10yr,Pick up upto 10Q,Governmental,Unknown,Unknown,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,18
Friday,18-30,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,Unknown,Unknown,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,15
Friday,31-50,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,15
Friday,18-30,Male,Junior high school,Employee,Below 1yr,Other,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Reversing,Not a Pedestrian,No priority to pedestrian,Slight Injury,15
Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Organization,Unknown,Unknown,Other,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,Going straight,Not a Pedestrian,No priority to vehicle,Serious Injury,12
Monday,Under 18,Unknown,Elementary school,Employee,5-10yr,Pick up upto 10Q,Governmental,2-5yrs,Unknown,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,8
Monday,Over 51,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Turnover,Slight Injury,8
Saturday,31-50,Male,Elementary school,Employee,1-2yr,Lorry (41?100Q),Owner,Above 10yr,Unknown,Other,other,Tangent road with flat terrain,No junction,Other,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,Turnover,Not a Pedestrian,Driving to the left,Slight Injury,17
Sunday,18-30,Male,Elementary school,Employee,Unknown,Ridden horse,Unknown,Unknown,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Reversing,Not a Pedestrian,Driving carelessly,Slight Injury,0
Sunday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Driving to the left,Slight Injury,0
Sunday,18-30,Male,Unknown,Employee,5-10yr,Automobile,Owner,2-5yrs,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,0
Wednesday,31-50,Male,Elementary school,Owner,1-2yr,Stationwagen,Owner,2-5yrs,Unknown, Church areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Turnover,Not a Pedestrian,No priority to pedestrian,Slight Injury,15
Saturday,Under 18,Male,Junior high school,Employee,5-10yr,Other,Owner,2-5yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,Moving Backward,Not a Pedestrian,Driving carelessly,Slight Injury,18
Saturday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,Unknown,Unknown,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,18
Friday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,1-2yr,Unknown,School areas,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Moving Backward,Serious Injury,5
Saturday,18-30,Unknown,Junior high school,Employee,5-10yr,Long lorry,Owner,5-10yrs,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,12
Friday,31-50,Male,Junior high school,Owner,Below 1yr,Stationwagen,Owner,Below 1yr,Unknown,Other,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,1,Reversing,Not a Pedestrian,Changing lane to the right,Slight Injury,22
Friday,31-50,Male,High school,Employee,Below 1yr,Public (12 seats),Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving carelessly,Serious Injury,6
Friday,31-50,Male,Junior high school,Employee,Unknown,Automobile,Owner,Unknown,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving carelessly,Serious Injury,6
Thursday,Under 18,Male,Junior high school,Employee,Below 1yr,Public (12 seats),Owner,2-5yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,1,Going straight,Not a Pedestrian,Driving carelessly,Serious Injury,17
Thursday,Under 18,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,1,Parked,Not a Pedestrian,Changing lane to the right,Serious Injury,17
Friday,18-30,Unknown,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,1,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,4
Friday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,Unknown, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,4
